orderid,ctime,userid,shopid,rating_star,satisfaction_label
123163683205322.0,2024-03-07 22:34:18,48361838,423318317,5,Very Satisfied
120405943130720.0,2024-03-10 22:24:24,331375660,423318317,5,Very Satisfied
97572690570477.0,2024-03-11 21:32:01,39439181,423318317,5,Very Satisfied
86230457484119.0,2024-03-16 12:46:26,540885189,423318317,5,Very Satisfied
99418087617632.0,2024-03-24 20:31:33,40951113,423318317,5,Very Satisfied
97647162682292.0,2024-03-22 11:53:25,309374448,423318317,5,Very Satisfied
144497274238108.0,2024-03-15 21:22:20,988386726,423318317,5,Very Satisfied
121502600114780.0,2024-03-11 21:57:37,78548715,423318317,5,Very Satisfied
86230096442320.0,2024-03-15 14:18:08,540885189,423318317,5,Very Satisfied
108144300265725.0,2024-02-28 20:13:14,142418628,423318317,5,Very Satisfied
113497695255695.0,2024-03-15 14:50:10,48452181,423318317,5,Very Satisfied
105589838669029.0,2024-03-10 22:12:13,121058753,423318317,5,Very Satisfied
112888764123065.0,2024-03-07 22:18:16,231480842,423318317,5,Very Satisfied
102755178601769.0,2024-02-28 20:17:53,48786956,423318317,5,Very Satisfied
113599549224608.0,2024-03-11 18:34:31,112585759,423318317,5,Very Satisfied
108132818539648.0,2024-03-31 16:45:19,62544450,423318317,5,Very Satisfied
98108603270201.0,2024-03-29 10:56:40,559388528,423318317,5,Very Satisfied
156313418290806.0,2024-03-25 18:24:19,326133580,423318317,5,Very Satisfied
96109614335419.0,2024-03-31 13:17:44,458132237,423318317,5,Very Satisfied
91424427309058.0,2024-02-26 07:48:31,46636580,423318317,5,Very Satisfied
137578133265585.0,2024-04-02 22:59:32,97089000,423318317,5,Very Satisfied
118515596204594.0,2024-04-04 09:35:22,173111483,423318317,5,Very Satisfied
112947985173071.0,2024-02-06 12:18:55,52845516,423318317,5,Very Satisfied
128937799269054.0,2024-04-03 10:36:27,55515889,423318317,5,Very Satisfied
141096765281923.0,2024-03-18 21:51:20,119753189,423318317,5,Very Satisfied
107136657588510.0,2024-03-15 20:37:12,84032529,423318317,5,Very Satisfied
91689599192842.0,2024-04-03 10:19:33,38880687,423318317,5,Very Satisfied
92377458134559.0,2024-04-03 00:00:15,143281793,423318317,5,Very Satisfied
148487955201635.0,2024-03-12 22:47:45,158241000,423318317,5,Very Satisfied
141152180265947.0,2024-03-08 08:12:42,185218375,423318317,5,Very Satisfied
121512447263314.0,2024-03-09 20:33:26,80417101,423318317,5,Very Satisfied
107709984520268.0,2024-03-12 14:43:08,7994855,423318317,5,Very Satisfied
90345039081949.0,2024-04-01 00:30:39,56525378,423318317,5,Satisfied
101459013580705.0,2024-03-30 17:02:02,185161164,423318317,5,Very Satisfied
118059636246277.0,2024-04-05 18:23:48,231480842,423318317,5,Very Satisfied
90343050167312.0,2024-02-28 09:27:42,68411410,423318317,5,Very Satisfied
127966927209315.0,2024-03-06 10:08:08,17672927,423318317,5,Very Satisfied
86229981449927.0,2024-03-26 09:39:52,540885189,423318317,5,Very Satisfied
158147532222646.0,2024-03-15 21:42:56,89729940,423318317,5,Very Satisfied
86230695282513.0,2024-03-26 13:11:03,540885189,423318317,5,Very Satisfied
99553729353247.0,2024-02-22 05:53:11,240549055,423318317,5,Very Satisfied
94751571080983.0,2024-02-19 10:11:42,25793630,423318317,5,Very Satisfied
92017332040155.0,2024-03-01 11:55:07,78729081,423318317,5,Very Satisfied
102721678562491.0,2024-03-23 07:27:29,55641261,423318317,5,Very Satisfied
86230339263625.0,2024-04-03 15:36:08,540885189,423318317,5,Very Satisfied
128436933249738.0,2024-03-29 20:12:58,284523589,423318317,5,Very Satisfied
91727462057286.0,2024-02-22 23:18:39,108126466,423318317,5,Very Satisfied
121168695189393.0,2024-03-27 23:02:58,44757540,423318317,5,Very Satisfied
86230589358013.0,2024-03-27 20:50:54,540885189,423318317,5,Very Satisfied
94665301350281.0,2024-02-13 17:57:53,105000127,423318317,5,Very Satisfied
86229869355196.0,2024-04-07 20:31:54,540885189,423318317,5,Satisfied
152328357302873.0,2024-03-24 14:04:12,119753189,423318317,5,Dissatisfied
124080359197604.0,2024-02-08 14:49:39,51504148,423318317,5,Very Satisfied
156699964231738.0,2024-02-13 18:09:24,182573605,423318317,5,Very Satisfied
96506285375879.0,2024-02-14 16:08:58,429484577,423318317,5,Very Satisfied
99808695338795.0,2024-04-01 10:00:47,103771242,423318317,5,Very Satisfied
89567725394900.0,2024-02-22 11:25:52,103771242,423318317,5,Very Satisfied
90341997125850.0,2024-03-01 12:42:44,435939418,423318317,5,Neutral
117692086263077.0,2024-04-03 17:33:18,142228497,423318317,5,Satisfied
99800907309710.0,2024-03-19 11:50:23,82261479,423318317,5,Very Satisfied
118195716218357.0,2024-03-30 23:23:03,28876297,423318317,5,Very Dissatisfied
130954844270800.0,2024-03-24 11:44:24,327521521,423318317,5,Very Satisfied
97038610207631.0,2024-03-30 11:58:29,66966523,423318317,5,Very Satisfied
140164310211312.0,2024-04-08 19:32:36,51171170,423318317,5,Very Satisfied
148636000275172.0,2024-03-23 16:39:41,457336852,423318317,4,Very Satisfied
98801184576082.0,2024-02-15 16:02:09,68872958,423318317,5,Very Satisfied
118142295208161.0,2024-03-28 16:55:52,125164859,423318317,5,Satisfied
102837818552747.0,2024-03-17 16:36:12,55341112,423318317,5,Satisfied
92632697146267.0,2024-03-31 12:48:54,80506666,423318317,5,Neutral
96971735598471.0,2024-04-01 10:43:10,103731569,423318317,5,Neutral
109586910679281.0,2024-04-01 10:26:16,16021842,423318317,5,Dissatisfied
134316605257709.0,2024-02-08 13:12:40,25094331,423318317,5,Very Satisfied
104223210635383.0,2024-03-30 22:13:13,82286664,423318317,5,Very Satisfied
96800045501905.0,2024-03-28 12:02:29,103731569,423318317,5,Very Satisfied
129113693252673.0,2024-03-24 19:11:05,119155473,423318317,5,Very Satisfied
91955203467905.0,2024-03-31 18:35:44,81490305,423318317,5,Very Satisfied
98348404627859.0,2024-03-26 09:50:23,241583156,423318317,5,Very Satisfied
115194171209350.0,2024-03-13 18:35:28,78692206,423318317,5,Very Satisfied
123004822110880.0,2024-03-28 15:10:46,231480842,423318317,5,Very Satisfied
99750426293381.0,2024-03-05 20:00:51,85311831,423318317,5,Very Satisfied
115637838211808.0,2024-03-25 00:06:59,41469842,423318317,5,Very Satisfied
139106746238595.0,2024-03-27 16:31:27,14405302,423318317,5,Very Satisfied
160903762276016.0,2024-03-30 12:31:18,65488406,423318317,5,Very Satisfied
126361069151607.0,2024-04-08 16:52:56,4477834,423318317,5,Very Satisfied
108781261382917.0,2024-02-26 02:39:34,287972840,423318317,5,Very Satisfied
101137710223055.0,2024-03-26 15:42:07,133948669,423318317,5,Very Satisfied
106534342308238.0,2024-02-07 13:24:00,15414138,423318317,5,Very Satisfied
147775151248121.0,2024-02-19 11:20:01,506160601,423318317,5,Very Satisfied
99752438619881.0,2024-03-01 09:16:48,56434557,423318317,5,Very Satisfied
154078610296165.0,2024-03-01 01:12:00,244531073,423318317,5,Very Satisfied
127896954238036.0,2024-03-21 00:04:49,748310348,423318317,5,Very Satisfied
99283772694151.0,2024-03-22 20:45:55,435164578,423318317,5,Very Satisfied
100147269352174.0,2024-03-26 18:47:40,166703875,423318317,5,Very Satisfied
144562695223940.0,2024-03-27 21:11:09,77975369,423318317,5,Very Satisfied
104495900316404.0,2024-03-27 16:10:25,318054562,423318317,5,Very Satisfied
142860090287989.0,2024-03-27 15:31:18,189523316,423318317,5,Very Satisfied
118422093232969.0,2024-03-31 15:02:37,21317280,423318317,5,Very Satisfied
129101621222616.0,2024-03-31 19:42:55,112339055,423318317,5,Very Satisfied
112660258143177.0,2024-03-30 20:23:51,67238452,423318317,5,Very Satisfied
130844415267069.0,2024-04-01 12:05:58,318054562,423318317,5,Very Satisfied
119613337144969.0,2024-04-07 15:39:44,236701433,423318317,5,Very Satisfied
118544769276733.0,2024-03-15 22:56:59,215838147,423318317,5,Very Satisfied
122234757132504.0,2024-03-11 13:55:09,172565088,423318317,5,Very Satisfied
157053246268062.0,2024-03-03 09:45:50,112585759,423318317,5,Very Satisfied
120879686149285.0,2024-03-01 19:16:54,209953152,423318317,5,Very Satisfied
133540711215671.0,2021-10-17 19:21:44,189156468,423318317,5,Very Satisfied
155006103286319.0,2024-01-18 11:50:51,843533728,423318317,5,Very Satisfied
91990234522833.0,2023-09-09 08:57:04,89900600,423318317,5,Very Satisfied
126952037217066.0,2023-11-07 14:11:51,37544652,423318317,5,Very Satisfied
92361557426895.0,2024-02-08 13:44:10,305744826,423318317,5,Very Satisfied
