orderid,ctime,userid,shopid,rating_star
123164000000000.0,1709850840,48361838,423318317,3
120406000000000.0,1710109440,331375660,423318317,4
97572700000000.0,1710192720,39439181,423318317,5
86230500000000.0,1710593160,540885189,423318317,5
99418100000000.0,1711312260,40951113,423318317,2
97647200000000.0,1711108380,309374448,423318317,3
144497000000000.0,1710537720,988386726,423318317,3
121503000000000.0,1710194220,78548715,423318317,5
86230100000000.0,1710512280,540885189,423318317,1
108144000000000.0,1709151180,142418628,423318317,1
113498000000000.0,1710514200,48452181,423318317,1
105590000000000.0,1710108720,121058753,423318317,1
112889000000000.0,1709849880,231480842,423318317,1
102755000000000.0,1709151420,48786956,423318317,3
113600000000000.0,1710182040,112585759,423318317,2
108133000000000.0,1711903500,62544450,423318317,1
98108600000000.0,1711709760,559388528,423318317,5
156313000000000.0,1711391040,326133580,423318317,5
96109600000000.0,1711891020,458132237,423318317,1
91424400000000.0,1708933680,46636580,423318317,1
137578000000000.0,1712098740,97089000,423318317,4
118516000000000.0,1712223300,173111483,423318317,1
112948000000000.0,1707221880,52845516,423318317,3
128938000000000.0,1712140560,55515889,423318317,5
141097000000000.0,1710798660,119753189,423318317,1
107137000000000.0,1710535020,84032529,423318317,5
91689600000000.0,1712139540,38880687,423318317,1
92377500000000.0,1712102400,143281793,423318317,1
148488000000000.0,1710283620,158241000,423318317,1
141152000000000.0,1709885520,185218375,423318317,1
121512000000000.0,1710016380,80417101,423318317,4
107710000000000.0,1710254580,7994855,423318317,3
90345000000000.0,1711931400,56525378,423318317,2
101459000000000.0,1711818120,185161164,423318317,4
118060000000000.0,1712341380,231480842,423318317,3
90343100000000.0,1709112420,68411410,423318317,1
127967000000000.0,1709719680,17672927,423318317,5
86230000000000.0,1711445940,540885189,423318317,1
158148000000000.0,1710538920,89729940,423318317,4
86230700000000.0,1711458660,540885189,423318317,1
99553700000000.0,1708581180,240549055,423318317,5
94751600000000.0,1708337460,25793630,423318317,3
92017300000000.0,1709294100,78729081,423318317,4
102722000000000.0,1711178820,55641261,423318317,3
86230300000000.0,1712158560,540885189,423318317,5
128437000000000.0,1711743120,284523589,423318317,4
91727500000000.0,1708643880,108126466,423318317,3
121169000000000.0,1711580520,44757540,423318317,4
86230600000000.0,1711572600,540885189,423318317,3
94665300000000.0,1707847020,105000127,423318317,2
86229900000000.0,1712521860,540885189,423318317,4
152328000000000.0,1711289040,119753189,423318317,3
124080000000000.0,1707403740,51504148,423318317,2
156700000000000.0,1707847740,182573605,423318317,3
96506300000000.0,1707926880,429484577,423318317,3
99808700000000.0,1711965600,103771242,423318317,3
89567700000000.0,1708601100,103771242,423318317,3
90342000000000.0,1709296920,435939418,423318317,1
117692000000000.0,1712165580,142228497,423318317,2
99800900000000.0,1710849000,82261479,423318317,1
118196000000000.0,1711840980,28876297,423318317,1
130955000000000.0,1711280640,327521521,423318317,4
97038600000000.0,1711799880,66966523,423318317,5
140164000000000.0,1712604720,51171170,423318317,4
148636000000000.0,1711211940,457336852,423318317,2
98801200000000.0,1708012920,68872958,423318317,4
118142000000000.0,1711644900,125164859,423318317,4
102838000000000.0,1710693360,55341112,423318317,2
92632700000000.0,1711889280,80506666,423318317,4
96971700000000.0,1711968180,103731569,423318317,3
109587000000000.0,1711967160,16021842,423318317,4
134317000000000.0,1707397920,25094331,423318317,5
104223000000000.0,1711836780,82286664,423318317,4
96800000000000.0,1711627320,103731569,423318317,3
129114000000000.0,1711307460,119155473,423318317,1
91955200000000.0,1711910100,81490305,423318317,1
98348400000000.0,1711446600,241583156,423318317,2
115194000000000.0,1710354900,78692206,423318317,2
123005000000000.0,1711638600,231480842,423318317,5
99750400000000.0,1709668800,85311831,423318317,4
115638000000000.0,1711325160,41469842,423318317,5
139107000000000.0,1711557060,14405302,423318317,1
160904000000000.0,1711801860,65488406,423318317,1
126361000000000.0,1712595120,4477834,423318317,1
108781000000000.0,1708915140,287972840,423318317,2
101138000000000.0,1711467720,133948669,423318317,5
106534000000000.0,1707312240,15414138,423318317,3
147775000000000.0,1708341600,506160601,423318317,4
99752400000000.0,1709284560,56434557,423318317,4
154079000000000.0,1709255520,244531073,423318317,1
127897000000000.0,1710979440,748310348,423318317,1
99283800000000.0,1711140300,435164578,423318317,4
100147000000000.0,1711478820,166703875,423318317,3
144563000000000.0,1711573860,77975369,423318317,1
104496000000000.0,1711555800,318054562,423318317,3
142860000000000.0,1711553460,189523316,423318317,1
118422000000000.0,1711897320,21317280,423318317,2
129102000000000.0,1711914120,112339055,423318317,1
112660000000000.0,1711830180,67238452,423318317,2
130844000000000.0,1711973100,318054562,423318317,2
119613000000000.0,1712504340,236701433,423318317,1
118545000000000.0,1710543360,215838147,423318317,4
122235000000000.0,1710165300,172565088,423318317,2
157053000000000.0,1709459100,112585759,423318317,4
120880000000000.0,1709320560,209953152,423318317,5
133541000000000.0,1634498460,189156468,423318317,1
155006000000000.0,1705578600,843533728,423318317,4
91990200000000.0,1694249820,89900600,423318317,3
126952000000000.0,1699366260,37544652,423318317,1
92361600000000.0,1707399840,305744826,423318317,4
114919000000000.0,1712165400,33748029,423318317,2
135053000000000.0,1701861780,26713921,423318317,5
118387000000000.0,1705376040,225082509,423318317,2
92242400000000.0,1704914400,34343459,423318317,5
144301000000000.0,1702351740,26928435,423318317,2
110791000000000.0,1661018880,16477623,423318317,4
110825000000000.0,1700604960,46923466,423318317,3
121051000000000.0,1709080680,99140269,423318317,5
118769000000000.0,1664898060,40086394,423318317,4
93540500000000.0,1706654520,267817743,423318317,1
90227300000000.0,1689624660,93374695,423318317,3
98911200000000.0,1705773840,137257297,423318317,4
100063000000000.0,1694362260,77989202,423318317,5
122281000000000.0,1684451820,314958697,423318317,3
150685000000000.0,1679124780,99140269,423318317,1
106242000000000.0,1700486880,224074993,423318317,1
96988200000000.0,1674476580,85997928,423318317,4
139479000000000.0,1688904840,35248981,423318317,5
104303000000000.0,1676458680,130240961,423318317,5
107164000000000.0,1660408440,121613511,423318317,2
99586900000000.0,1704634260,156495494,423318317,1
155530000000000.0,1696104600,58342719,423318317,2
133621000000000.0,1673162520,99140269,423318317,4
126069000000000.0,1686227340,197849745,423318317,5
129563000000000.0,1680017580,106820226,423318317,1
97057900000000.0,1672863060,63021564,423318317,3
119239000000000.0,1700602740,40022808,423318317,5
159814000000000.0,1705644180,22235878,423318317,2
97518100000000.0,1695665040,50419937,423318317,2
115141000000000.0,1667210640,135783732,423318317,3
92322200000000.0,1686055500,19181310,423318317,3
149904000000000.0,1704365940,1075931031,423318317,1
121451000000000.0,1697031000,13298869,423318317,1
104979000000000.0,1707135600,103823648,423318317,2
161512000000000.0,1705876080,68550594,423318317,5
136260000000000.0,1709378460,69435387,423318317,5
94670500000000.0,1692913260,165434031,423318317,4
104313000000000.0,1660552260,68448296,423318317,2
153985000000000.0,1692367680,50454314,423318317,1
123783000000000.0,1702164540,13271156,423318317,2
152320000000000.0,1710279600,294276011,423318317,1
99720100000000.0,1694736720,61440657,423318317,5
99527400000000.0,1665152400,285456045,423318317,1
139754000000000.0,1663875720,58461127,423318317,5
154966000000000.0,1712045040,154857391,423318317,3
92033000000000.0,1711231080,76122736,423318317,1
110899000000000.0,1702713720,179839330,423318317,5
121925000000000.0,1672364640,136565710,423318317,3
123698000000000.0,1712566980,81070170,423318317,3
133421000000000.0,1709403300,183840969,423318317,2
115187000000000.0,1697890260,73283932,423318317,4
128524000000000.0,1694955420,278784597,423318317,2
123493000000000.0,1700922960,19626216,423318317,3
143437000000000.0,1711208340,6438599,423318317,3
100162000000000.0,1698089880,62533686,423318317,2
103683000000000.0,1706672160,80175382,423318317,2
97505100000000.0,1700503680,80945807,423318317,3
107711000000000.0,1667159580,163938142,423318317,4
136835000000000.0,1697823900,69435387,423318317,5
97348700000000.0,1692633900,35168595,423318317,4
109318000000000.0,1711844940,150528040,423318317,4
113020000000000.0,1695998340,58706664,423318317,1
99764500000000.0,1693594080,59500393,423318317,3
147858000000000.0,1707847440,290884175,423318317,1
92754300000000.0,1685382000,11450517,423318317,3
161173000000000.0,1639137000,717895659,423318317,3
92720700000000.0,1693258320,65707485,423318317,3
113191000000000.0,1693564260,254056469,423318317,1
154666000000000.0,1671559560,413916096,423318317,4
113651000000000.0,1695223560,7844179,423318317,2
123165000000000.0,1680519900,402795120,423318317,5
118323000000000.0,1695121020,19004272,423318317,2
92501100000000.0,1696600320,242230530,423318317,2
114864000000000.0,1692855480,115518214,423318317,3
131475000000000.0,1702562280,13713585,423318317,5
98773700000000.0,1693920720,305744826,423318317,5
131901000000000.0,1696551840,223985240,423318317,4
116517000000000.0,1662481500,97018886,423318317,5
134885000000000.0,1697482200,103743425,423318317,2
122536000000000.0,1708523940,209436724,423318317,3
102779000000000.0,1705324800,99140269,423318317,5
107102000000000.0,1693319280,110746422,423318317,3
107142000000000.0,1708417620,95937315,423318317,5
123268000000000.0,1703866920,211705452,423318317,3
86230900000000.0,1678971300,540885189,423318317,3
142154000000000.0,1676980920,21166219,423318317,1
116438000000000.0,1675174440,142638048,423318317,1
102161000000000.0,1693068900,52845516,423318317,2
114498000000000.0,1712221020,162418048,423318317,3
116134000000000.0,1691872320,66652605,423318317,3
103349000000000.0,1660684560,60606351,423318317,1
129051000000000.0,1655464260,75284875,423318317,4
121659000000000.0,1637397060,48880929,423318317,1
156944000000000.0,1710935580,574097757,423318317,5
134925000000000.0,1670780820,63103629,423318317,1
98282700000000.0,1671999360,99124173,423318317,3
111732000000000.0,1692637320,48436500,423318317,2
158163000000000.0,1704613560,124213402,423318317,2
104176000000000.0,1663182360,76953025,423318317,5
100325000000000.0,1695222840,112585759,423318317,5
90321300000000.0,1696520040,77541142,423318317,1
153978000000000.0,1702170300,50454314,423318317,4
90263600000000.0,1703273880,147042031,423318317,4
151596000000000.0,1694546820,13627596,423318317,3
113112000000000.0,1648147740,421696544,423318317,2
140425000000000.0,1691626080,273607133,423318317,4
125390000000000.0,1705325580,204237845,423318317,5
90303400000000.0,1701334980,115704901,423318317,4
98551000000000.0,1709815980,47455430,423318317,3
104111000000000.0,1710499200,305744826,423318317,1
