orderid,ctime,userid,shopid,rating_star
123164000000000.0,07/03/2024 22:34,48361838,423318317,3
120406000000000.0,10/03/2024 22:24,331375660,423318317,4
97572700000000.0,11/03/2024 21:32,39439181,423318317,5
86230500000000.0,16/03/2024 12:46,540885189,423318317,5
99418100000000.0,24/03/2024 20:31,40951113,423318317,2
97647200000000.0,22/03/2024 11:53,309374448,423318317,3
144497000000000.0,15/03/2024 21:22,988386726,423318317,3
121503000000000.0,11/03/2024 21:57,78548715,423318317,5
86230100000000.0,15/03/2024 14:18,540885189,423318317,1
108144000000000.0,28/02/2024 20:13,142418628,423318317,1
113498000000000.0,15/03/2024 14:50,48452181,423318317,1
105590000000000.0,10/03/2024 22:12,121058753,423318317,1
112889000000000.0,07/03/2024 22:18,231480842,423318317,1
102755000000000.0,28/02/2024 20:17,48786956,423318317,3
113600000000000.0,11/03/2024 18:34,112585759,423318317,2
108133000000000.0,31/03/2024 16:45,62544450,423318317,1
98108600000000.0,29/03/2024 10:56,559388528,423318317,5
156313000000000.0,25/03/2024 18:24,326133580,423318317,5
96109600000000.0,31/03/2024 13:17,458132237,423318317,1
91424400000000.0,26/02/2024 7:48,46636580,423318317,1
137578000000000.0,02/04/2024 22:59,97089000,423318317,4
118516000000000.0,04/04/2024 9:35,173111483,423318317,1
112948000000000.0,06/02/2024 12:18,52845516,423318317,3
128938000000000.0,03/04/2024 10:36,55515889,423318317,5
141097000000000.0,18/03/2024 21:51,119753189,423318317,1
107137000000000.0,15/03/2024 20:37,84032529,423318317,5
91689600000000.0,03/04/2024 10:19,38880687,423318317,1
92377500000000.0,03/04/2024 0:00,143281793,423318317,1
148488000000000.0,12/03/2024 22:47,158241000,423318317,1
141152000000000.0,08/03/2024 8:12,185218375,423318317,1
121512000000000.0,09/03/2024 20:33,80417101,423318317,4
107710000000000.0,12/03/2024 14:43,7994855,423318317,3
90345000000000.0,01/04/2024 0:30,56525378,423318317,2
101459000000000.0,30/03/2024 17:02,185161164,423318317,4
118060000000000.0,05/04/2024 18:23,231480842,423318317,3
90343100000000.0,28/02/2024 9:27,68411410,423318317,1
127967000000000.0,06/03/2024 10:08,17672927,423318317,5
86230000000000.0,26/03/2024 9:39,540885189,423318317,1
158148000000000.0,15/03/2024 21:42,89729940,423318317,4
86230700000000.0,26/03/2024 13:11,540885189,423318317,1
99553700000000.0,22/02/2024 5:53,240549055,423318317,5
94751600000000.0,19/02/2024 10:11,25793630,423318317,3
92017300000000.0,01/03/2024 11:55,78729081,423318317,4
102722000000000.0,23/03/2024 7:27,55641261,423318317,3
86230300000000.0,03/04/2024 15:36,540885189,423318317,5
128437000000000.0,29/03/2024 20:12,284523589,423318317,4
91727500000000.0,22/02/2024 23:18,108126466,423318317,3
121169000000000.0,27/03/2024 23:02,44757540,423318317,4
86230600000000.0,27/03/2024 20:50,540885189,423318317,3
94665300000000.0,13/02/2024 17:57,105000127,423318317,2
86229900000000.0,07/04/2024 20:31,540885189,423318317,4
152328000000000.0,24/03/2024 14:04,119753189,423318317,3
124080000000000.0,08/02/2024 14:49,51504148,423318317,2
